entity_type,id,name_ja,name_en,category_id,status,priority,agent_id,module_id,runtime,cli_command,tier,pack,regulations,official_urls,notes,path
category,corporate_governance,会社設立・ガバナンス,Corporate Governance,corporate_governance,,,,,,,,,,,,
category,tax_finance,税務・会計・決算,Tax & Finance,tax_finance,,,,,,,,,,,,
category,labor_hr,人事・労務,Labor & HR,labor_hr,,,,,,,,,,,,
category,compliance_legal,コンプライアンス・法務,Compliance & Legal,compliance_legal,,,,,,,,,,,,
category,intellectual_property,知的財産,Intellectual Property,intellectual_property,,,,,,,,,,,,
category,government_programs,行政手続・補助金・宣言,Government Programs & Declarations,government_programs,,,,,,,,,,,,
category,sector_operations,業種別業務運用,Sector Operations,sector_operations,,,,,,,,,,,,
category,banking_payments,銀行・決済,Banking & Payments,banking_payments,,,,,,,,,,,,
category,insurance_risk,保険・リスク,Insurance & Risk,insurance_risk,,,,,,,,,,,,
category,cross_border,多言語・越境,Cross-border & Language,cross_border,,,,,,,,,,,,
agent,executive_steward,経営統括,Executive Steward,corporate_governance,implemented,P0,,,,,core,,,,,steward/core/agents/executive_steward_agent.md
agent,secretary,秘書,Secretary,corporate_governance,implemented,P0,,,,,core,,,,,steward/core/agents/secretary_agent.md
agent,finance,財務・計画,Finance,tax_finance,implemented,P0,,,,,core,,,,,steward/core/agents/finance_agent.md
agent,contract,契約管理,Contract,compliance_legal,implemented,P0,,,,,core,,,,,steward/core/agents/contract_agent.md
agent,compliance,コンプライアンス,Compliance,compliance_legal,implemented,P0,,,,,core,,,,,steward/core/agents/compliance_agent.md
agent,operations,業務運用,Operations,sector_operations,implemented,P1,,,,,core,,,,,steward/core/agents/operations_agent.md
agent,human_resources,人事・労務,Human Resources,labor_hr,planned,P0,,,,,extension,,,,agents/registry.yaml planned · Finance と分担要整理,
agent,legal_ip,法務・知財,Legal & IP,compliance_legal,planned,P1,,,,,extension,,,,現状 Compliance proxy（jp_trademark_application 等）,
agent,government_affairs,行政・公的制度,Government Affairs,government_programs,planned,P1,,,,,extension,,,,現状 Finance/Compliance proxy（jp_subsidy_application）,
agent,procurement,購買・調達,Procurement,sector_operations,planned,P2,,,,,extension,,,,,
agent,risk_insurance,リスク・保険,Risk & Insurance,insurance_risk,planned,P2,,,,,extension,,,,,
agent,investor_relations,IR・資本政策,Investor Relations,corporate_governance,planned,P3,,,,,extension,,,,,
module,professional_services,プロフェッショナルサービス,,sector_operations,implemented,P1,professional_services,,,,production_ready,steward/modules,REG-004|REG-005,,,
module,saas_subscription,SaaS・サブスク,,sector_operations,implemented,P1,finance,,,,production_ready,steward/modules,REG-010,,,
module,software_outsourcing,ソフトウェア受託,,sector_operations,implemented,P1,operations,,,,production_ready,steward/modules,REG-004,,,
module,ecommerce,EC・通販,,sector_operations,implemented,P2,operations,,,,production_ready,steward/modules,REG-022|REG-010,,,
module,staffing,人材派遣・SES,,sector_operations,implemented,P2,operations,,,,production_ready,steward/modules,REG-020,,,
module,real_estate_brokerage,不動産仲介,,sector_operations,implemented,P2,contract,,,,production_ready,steward/modules,REG-004,,宅建業法 · 重要事項説明は planned skill,
