condition_id,permit_type_id,phase,title_ja,legal_basis,severity,evidence_hint,source_id,notes
COND-RYOKAN-SHUKU-OBTAIN-01,pt-ryokan-shukuhaku,obtain,営業許可の申請・取得,旅館業法第4条,required,docs/company/licenses/records/ryokan/,mhlw-ryokan,営業開始前必須
COND-RYOKAN-SHUKU-OBTAIN-02,pt-ryokan-shukuhaku,obtain,許可証の掲示,旅館業法（掲示義務）,required,施設内掲示 · スキャン任意,mhlw-ryokan,pre-opening A2
COND-RYOKAN-SHUKU-OBTAIN-03,pt-ryokan-shukuhaku,obtain,宿泊者名簿様式の準備,旅館業法第6条,required,operations/templates/compliance/,mhlw-ryokan,運用開始は業モジュール
COND-RYOKAN-SHUKU-OBTAIN-04,pt-ryokan-shukuhaku,obtain,消防用設備等の適合,消防法第17条の3,required,docs/company/licenses/records/ryokan/,fdma-fire,前提 PER または並行 APP
COND-RYOKAN-SHUKU-CHANGE-01,pt-ryokan-shukuhaku,change,許可事項変更届出,旅館業法施行規則,required,,mhlw-ryokan,lead_days 目安14
COND-RYOKAN-SHUKU-RENEW-01,pt-ryokan-shukuhaku,renew,更新・再交付が必要な場合の手続,旅館業法 · 自治体条例,recommended,,mhlw-ryokan,原則無期限でも自治体手続あり
COND-ANTIQUE-OBTAIN-01,pt-antique-dealer,obtain,古物商許可の申請・取得,古物営業法第4条,required,docs/company/licenses/records/,npa-security,営業開始前必須 · 公安委員会
COND-ANTIQUE-OBTAIN-02,pt-antique-dealer,obtain,主たる営業所の届出・標識,古物営業法,required,docs/company/licenses/records/,npa-security,許可証・標識の掲示
COND-TAKKEN-OBTAIN-01,pt-takken,obtain,宅建業免許の申請・取得,宅地建物取引業法第4条,required,docs/company/licenses/records/,mlit-takken,事業者単位 · lead_days 目安90
COND-TAKKEN-OBTAIN-02,pt-takken,obtain,専任宅地建物取引士の配置,宅地建物取引業法第20条,required,docs/company/licenses/records/,mlit-takken,事務所ごとの配置義務
COND-TAKKEN-OBTAIN-03,pt-takken,obtain,営業保証金または弁済業務保証金の供託,宅地建物取引業法,required,docs/company/licenses/records/,mlit-takken,供託・保証協会加入
COND-JOB-INTRO-FEE-OBTAIN-01,pt-job-intro-fee,obtain,有料職業紹介事業許可の申請・取得,職業安定法第32条の13,required,docs/company/licenses/records/,,5年更新 · lead_days 目安90
COND-JOB-INTRO-FEE-OBTAIN-02,pt-job-intro-fee,obtain,手数料表・業務運営規程の整備,職業安定法,required,docs/company/licenses/records/,,許可申請添付
COND-MD-MAH-OBTAIN-01,pt-medical-device-mah,obtain,医療機器製造販売業許可の申請・取得,薬機法第12条,required,docs/company/licenses/records/,pmda,詳細は jp_medical_device
COND-MD-MAH-OBTAIN-02,pt-medical-device-mah,obtain,総括製造販売責任者・品質保証責任者等の配置,薬機法,required,docs/company/licenses/records/,pmda,人的要件
COND-MD-MAH-OBTAIN-03,pt-medical-device-mah,obtain,GVP・QMS 体制の整備,薬機法・GVP省令,required,docs/compliance/,pmda,許可後も継続義務あり
COND-MD-MFG-OBTAIN-01,pt-medical-device-mfg,obtain,医療機器製造業許可の申請・取得,薬機法第6条の2,required,docs/company/licenses/records/,pmda,サイト単位 · jp_medical_device
COND-MD-MFG-OBTAIN-02,pt-medical-device-mfg,obtain,製造所の構造設備・責任技術者の配置,薬機法,required,docs/company/licenses/records/,pmda,site_scoped
COND-FIRE-EQUIP-OBTAIN-01,pt-fire-equip,obtain,消防用設備等配置証明の取得,消防法第17条の3,required,docs/company/licenses/records/,fdma-fire,宿泊等の前提許可
COND-FIRE-EQUIP-OBTAIN-02,pt-fire-equip,obtain,消防用設備等の設置適合確認,消防法,required,docs/company/licenses/records/,fdma-fire,消防署検査
COND-FOOD-REST-OBTAIN-01,pt-food-restaurant,obtain,飲食店営業許可の申請・取得,食品衛生法第28条,required,docs/company/licenses/records/,mhlw-food,保健所経由
COND-FOOD-REST-OBTAIN-02,pt-food-restaurant,obtain,食品衛生責任者の配置,食品衛生法,required,docs/company/licenses/records/,mhlw-food,営業施設ごと
COND-FOOD-REST-OBTAIN-03,pt-food-restaurant,obtain,HACCPに沿った衛生管理の準備,食品衛生法,required,operations/ledgers/food-hygiene/,mhlw-food,温度記録等
COND-FIEA-TYPE1-OBTAIN-01,pt-fiea-type1,obtain,金融商品取引業者登録申請書の作成・提出,金融商品取引法第29条,required,docs/company/licenses/records/fiea/,fsa-fiea,内閣総理大臣宛 · 財務局経由
COND-FIEA-TYPE1-OBTAIN-02,pt-fiea-type1,obtain,定款・登記事項証明書・役員履歴書等の添付,金融商品取引法施行令・内閣府令,required,docs/company/licenses/records/fiea/,fsa-fiea,会社DBから商号・資本金・役員を転記可
COND-FIEA-TYPE1-OBTAIN-03,pt-fiea-type1,obtain,純資産額・自己資本規制比率等の財務要件確認,金融商品取引法第29条の4,required,docs/finance/,fsa-fiea,拒否事由・財務要件
COND-FIEA-TYPE1-OBTAIN-04,pt-fiea-type1,obtain,コンプライアンス・内部管理統括責任者の配置,金商法・協会規則,required,docs/compliance/,fsa-fiea,人的構成
COND-FIEA-TYPE1-OBTAIN-05,pt-fiea-type1,obtain,営業所・システム・顧客資産分別管理の整備,金商法,required,docs/company/licenses/records/fiea/,fsa-fiea,物的要件
COND-FIEA-TYPE2-OBTAIN-01,pt-fiea-type2,obtain,第二種金融商品取引業の登録申請,金融商品取引法第29条,required,docs/company/licenses/records/fiea/,fsa-fiea,ファンド持分等
COND-FIEA-TYPE2-OBTAIN-02,pt-fiea-type2,obtain,業務方法書・勧誘規制体制の整備,金商法・協会規則,required,docs/compliance/,fsa-fiea,
COND-FIEA-TYPE2-OBTAIN-03,pt-fiea-type2,obtain,純資産・人的構成の充足,金融商品取引法第29条の4,required,docs/finance/,fsa-fiea,
COND-FIEA-INVESTMENT-ADVISORY-OBTAIN-01,pt-fiea-investment-advisory,obtain,投資助言・代理業の申請・取得,金融商品取引法第29条,required,docs/company/licenses/records/,,営業開始前必須
