permit_type_id,name_ja,name_en,category,legal_basis,issuer_type,issuer_label_ja,renewal_cycle,property_scoped,site_scoped,binds_module,catalog_version,review_status,notes
pt-ryokan-hotel,旅館業（ホテル業）,Hotel business,accommodation,旅館業法第4条,municipal,保健所を経由する市区町村,原則無期限（変更届出あり）,true,false,,1,verified,客室10室以上が目安。営業開始前に許可。
pt-ryokan-ryokan,旅館業（旅館）,,accommodation,旅館業法第4条,municipal,,原則無期限,true,false,,1,verified,
pt-ryokan-shukuhaku,旅館業（簡易宿所）,,accommodation,旅館業法第4条,municipal,,,true,false,,1,verified,
pt-ryokan-geshuku,旅館業（下宿営業）,,accommodation,旅館業法第4条,municipal,,,true,false,,1,verified,
pt-minpaku-notification,住宅宿泊事業届出（民泊）,,accommodation,住宅宿泊事業法第5条,municipal,,届出（年間日数制限あり）,true,false,,1,verified,旅館業許可と排他ではないが実務上選択。自治体条例で追加要件。
pt-fire-compliance-notice,消防法令適合通知書,,fire_building,消防法第17条の3,fire_department,消防署,,true,false,,2,verified,旅館業・民泊の消防適合。取得後 permit-registry に active 登録。
pt-lodging-tax-registration,宿泊税特別徴収義務者登録,,other,東京都宿泊税条例,tax_office,東京都主税局,,false,false,,2,verified,宿泊税申告は operations hospitality tax-*
pt-fire-equip,消防用設備等配置証明,,fire_building,消防法第17条の3,fire_department,,,true,false,,1,verified,
pt-fire-inspect,消防用設備等検査（定期）,,fire_building,消防法第17条の4,fire_department,,設備種別により6ヶ月〜1年,true,false,,1,verified,
pt-building-confirm,建築確認済証,,fire_building,建築基準法第6条,prefectural,指定確認検査機関または建築主事,,true,false,,1,verified,
pt-building-complete,検査済証（完了検査）,,fire_building,建築基準法第7条,prefectural,,,true,false,,1,verified,
pt-building-use-change,用途変更確認・届出,,fire_building,建築基準法第6条・第87条,prefectural,,,true,false,,1,verified,
pt-food-restaurant,飲食店営業許可,,food_beverage,食品衛生法第28条,health_center,,原則無期限（変更届出あり）,true,false,,1,unverified,
pt-alcohol-sales,酒類販売業免許,,food_beverage,酒税法第7条,tax_office,,3年,true,false,,1,unverified,
pt-alcohol-restaurant,酒類飲食店営業免許,,food_beverage,酒税法第7条,tax_office,,3年,true,false,,1,unverified,
pt-food-manufacturing,食品製造業許可,,food_beverage,食品衛生法第28条,health_center,,,false,true,,1,unverified,
pt-takken,宅地建物取引業免許,,real_estate,宅地建物取引業法第4条,prefectural,,5年,false,false,,1,unverified,事業者単位。専任宅建士配置義務。
pt-rental-housing-mgmt,賃貸住宅管理業者登録,,real_estate,賃貸住宅の管理業務等の適正化に関する法律第6条,mlit,,5年,false,false,,1,unverified,
pt-condo-mgmt,マンション管理業者登録,,real_estate,マンション管理適正化法第6条,mlit,,5年,false,false,,1,unverified,
pt-construction-general,建設業許可（一般建設業）,,construction,建設業法第3条,prefectural,,5年,false,false,,1,unverified,
pt-construction-specific,建設業許可（特定建設業）,,construction,建設業法第3条,prefectural,,5年,false,false,,1,unverified,
