fiscal_year,period_from,period_to,line_id,line_name,property_id,amount_jpy,notes
FY2026,2026-02,2027-01,bancho_rent,番町ハイム312（賃貸）,PROP-001,1200000,10万円×12ヶ月
FY2026,2026-02,2027-01,kamezawa_hotel,亀沢旅館（宿泊）,PROP-002,6300000,105万×6ヶ月（8月開業）
FY2026,2026-02,2027-01,translation,翻訳・通訳,,0,未計上
FY2026,2026-02,2027-01,services,DX・ソフトウェア等,,0,未計上
FY2027,2027-02,2028-01,bancho_rent,番町ハイム312（賃貸）,PROP-001,1200000,
FY2027,2027-02,2028-01,kamezawa_hotel,亀沢旅館（宿泊）,PROP-002,12600000,105万×12ヶ月
FY2027,2027-02,2028-01,translation,翻訳・通訳,,0,
FY2027,2027-02,2028-01,services,DX・ソフトウェア等,,0,
FY2028,2028-02,2029-01,bancho_rent,番町ハイム312（賃貸）,PROP-001,1200000,
FY2028,2028-02,2029-01,kamezawa_hotel,亀沢旅館（宿泊）,PROP-002,13230000,前年度比+5%
FY2028,2028-02,2029-01,translation,翻訳・通訳,,0,
FY2028,2028-02,2029-01,services,DX・ソフトウェア等,,0,
